v1,v2
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1
Oh just getting even with u.... u?,0
Yup i shd haf ard 10 pages if i add figures... ÌÏ all got how many pages?,0
Near kalainar tv office.thenampet,0
Dunno he jus say go lido. Same time 930.,0
Okey dokey swashbuckling stuff what oh.,0
When are you guys leaving?,0
"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\""""",0
"Theoretically yeah, he could be able to come",0
Now project pa. After that only i can come.,0
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1
"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",0
I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,0
No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!,0
Finished class where are you.,0
"Sorry, I'll call later",0
DO NOT B LATE LOVE MUM,0
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,1
Sitting in mu waiting for everyone to get out of my suite so I can take a shower,0
Oi when you gonna ring,0
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",0
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,0
And pls pls drink plenty plenty water,0
See you there! ,0
Is there coming friday is leave for pongal?do you get any news from your work place.,0
I'm in class. Will holla later,0
Do you know when dad will be back?,0
"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj",0
Every monday..nxt week vl be completing..,0
"Come to me right now, Ahmad",0
I'm stuck in da middle of da row on da right hand side of da lt... ,0
Hi.what you think about match?,0
Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing ,0
Stop knowing me so well!,0
Every day i use to sleep after  &lt;#&gt;  so only.,0
"Sorry,in meeting I'll call later",0
Hi dear we saw dear. We both are happy. Where you my battery is low,0
"Whatever, juliana. Do whatever you want.",0
"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",1
"Cool, I'll text you in a few",0
You still at the game?,0
Then get some cash together and I'll text jason,0
"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.",0
Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.,0
You still around? I could use a half-8th,0
network operator. The service is free. For T & C's visit 80488.biz,1
1's finish meeting call me.,0
