v1,v2
Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,0
Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,0
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",1
Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,0
"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",0
Why tired what special there you had,0
How much r Ì_ willing to pay?,0
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",1
"Sir, Waiting for your mail.",0
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,1
Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,0
U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,0
Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,0
"\CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X\""""",0
I'm done. C Ì_ there.,0
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1
Oh ok i didnt know what you meant. Yep i am baby jontin,0
Great to hear you are settling well. So what's happenin wit ola?,0
"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",0
Surly ill give it to you:-) while coming to review.,0
LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts,1
He needs to stop going to bed and make with the fucking dealing,0
I've told you everything will stop. Just dont let her get dehydrated.,0
"alright, I'll make sure the car is back tonight",0
As in i want custom officer discount oh.,0
Good morning princess! How are you?,0
"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",0
"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",0
You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,0
Send me your id and password,0
"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",0
Oh:)as usual vijay film or its different?,0
Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,0
Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,0
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1
"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",1
U should make a fb list,0
It's Ì© only $140 ard...Ìä rest all ard $180 at least...Which is Ì© price 4 Ì© 2 bedrm ($900),0
No da. I am happy that we sit together na,0
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",0
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,1
Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0
Geeeee ... I love you so much I can barely stand it,0
Jay's getting really impatient and belligerent,0
"idc get over here, you are not weaseling your way out of this shit twice in a row",0
Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,0
