v1,v2
Thanks for sending this mental ability question..,0
K I'll call you when I'm close,0
Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,0
"Probably not, I'm almost out of gas and I get some cash tomorrow",0
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,0
That's my honeymoon outfit. :),0
HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,0
Hai priya are you right. What doctor said pa. Where are you.,0
watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,0
"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",0
I am 6 ft. We will be a good combination!,0
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",1
Does not operate after  &lt;#&gt;  or what,0
U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,0
Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..,0
"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*",0
URGENT! We are trying to contact U Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,1
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,1
"Hiya, had a good day? Have you spoken to since the weekend?",0
Pls pls find out from aunt nike.,0
Buy one egg for me da..please:),0
LOL what happens in Vegas stays in vegas,0
Like a personal sized or what,0
"Erm Û_ ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",0
There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,0
No current and food here. I am alone also,0
"Just looked it up and addie goes back Monday, sucks to be her",0
Can u get pic msgs to your phone?,0
Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,0
Ok then i will come to ur home after half an hour,0
Jus finish watching tv... U?,0
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",1
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0
"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",0
As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,1
Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,0
"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or å£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",1
"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IåÕLLSPEAK 2U SOONLOTS OF LOVEME XXXX.\""""",0
"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack",0
You in your room? I need a few,0
Yup i'm elaborating on the safety aspects and some other issues..,0
dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,1
Sure! I am driving but will reach my destination soon.,0
Remind me how to get there and I shall do so,0
88800 and 89034 are premium phone services call 08718711108,1
Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,0
Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,1
Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.,0
"Not yet chikku..going to room nw, i'm in bus..",0
Feel like trying kadeem again? :V,0
"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",0
Shall i start from hear.,0
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",0
Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!,0
Please da call me any mistake from my side sorry da. Pls da goto doctor.,0
+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,1
Oh all have to come ah?,0
So that takes away some money worries,0
Thanks for picking up the trash.,0
Hey r Ì_ still online? I've finished the formatting...,0
Nope. Meanwhile she talk say make i greet you.,0
Me too! Have a lovely night xxx,0
Small problem in auction:)punj now asking tiwary,0
"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",0
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",0
Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,0
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,1
O we cant see if we can join denis and mina? Or does denis want alone time,0
Gudnite....tc...practice going on,0
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",1
2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,1
Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,1
I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,0
FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,1
Kinda. First one gets in at twelve! Aah. Speak tomo,0
I am great princess! What are you thinking about me? :),0
U 2.,0
I think its far more than that but find out. Check google maps for a place from your dorm.,0
Jus came back fr lunch wif my sis only. U leh?,0
Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,0
I'm in a movie. Call me 4 wat?,0
Am only searching for good dual sim mobile pa.,0
No message..no responce..what happend?,0
I like to talk pa but am not able to. I dont know y.,0
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1
4 oclock at mine. Just to bash out a flat plan.,0
Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,0
