v1,v2
My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),0
Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,0
Yo you around? A friend of mine's lookin to pick up later tonight,0
Watching ajith film ah?,0
Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg,1
I will send them to your email. Do you mind  &lt;#&gt;  times per night?,0
As if i wasn't having enough trouble sleeping.,0
"Aight, sounds good. When do you want me to come down?",0
"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. ",0
"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",1
Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,0
"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",0
"U need my presnts always bcz U cant mis love. \jeevithathile irulinae neekunna prakasamanu sneham\"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me....""",0
"Text me when you get off, don't call, my phones having problems",0
Huh i cant thk of more oredi how many pages do we have?,0
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0
IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,1
Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,0
"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""",0
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0
Ok... C ya...,0
I cant pick the phone right now. Pls send a message,0
"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",1
U don't remember that old commercial?,0
"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?",0
Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412,1
I cant pick the phone right now. Pls send a message,0
U wake up already? Thanx 4 e tau sar piah it's quite nice.,0
Great! How is the office today?,0
alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,0
"Nah man, my car is meant to be crammed full of people",0
Well good morning mr . Hows london treatin' ya treacle?,0
"Dad wanted to talk about the apartment so I got a late start, omw now",0
I was just callin to say hi. Take care bruv!,0
Lol alright i was thinkin that too haha,0
It has issues right now. Ill fix for her by tomorrow.,0
Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.,0
Call me when you get the chance plz &lt;3,0
How i noe... Did Ì_ specify da domain as nusstu... ÌÏ still in sch...,0
Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,0
Saw Guys and Dolls last night with Patrick Swayze it was great,0
Genius what's up. How your brother. Pls send his number to my skype.,0
FreeMsg>FAV XMAS TONES!Reply REAL,1
"Like I made him throw up when we were smoking in our friend's car one time, it was awesome",0
"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola",0
Hi kindly give us back our documents which we submitted for loan from STAPATI,0
Yes. Rent is very expensive so its the way we save.,0
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,1
Well that must be a pain to catch,0
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,0
Tell me pa. How is pain de.,0
"Hi elaine, is today's meeting confirmed?",0
Thank You meet you monday,0
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066368470",1
All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,0
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,1
Indeed and by the way it was either or - not both !,0
Yep get with the program. You're slacking.,0
Hey tmr meet at bugis 930 ?,0
Yes. Nigh you cant aha.,0
I called but no one pick up e phone. I ask both of them already they said ok.,0
Life style garments account no please.,0
Are you going to wipro interview today?,0
"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",0
ÌÏ still got lessons?  ÌÏ in sch?,0
Wah lucky man... Then can save money... Hee...,0
Whom you waited for yesterday,0
Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...,0
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0
He is there. You call and meet him,0
I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,0
I'm still pretty weak today .. Bad day ?,0
You have 1 new voicemail. Please call 08719181513.,1
