v1,v2
I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,0
Dad says hurry the hell up,0
S:)but he had some luck.2 catches put down:),0
FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for å£3/wk,1
"Sorry, I'll call later",0
We stopped to get ice cream and will go back after,0
Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,0
When did dad get back.,0
"Cool, what time you think you can get here?",0
At 7 we will go ok na.,0
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0
Sent me ur email id soon,0
* Will have two more cartons off u and is very pleased with shelves,0
I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,0
When i have stuff to sell i.ll tell you,0
"There'll be a minor shindig at my place later tonight, you interested?",0
Yeah I can still give you a ride,0
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",0
Aiyah ok wat as long as got improve can already wat...,0
This phone has the weirdest auto correct.,0
Eh u send wrongly lar...,0
Captain vijaykanth is doing comedy in captain tv..he is drunken :),0
What happened to our yo date?,0
Yeah but which is worse for i,0
Dude we should go sup again,0
If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,0
Dunno lei shd b driving lor cos i go sch 1 hr oni.,0
"I'm back &amp; we're packing the car now, I'll let you know if there's room",0
If you don't respond imma assume you're still asleep and imma start calling n shit,0
"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",0
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",0
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,0
I know you are. Can you pls open the back?,0
"Thanks, I'll keep that in mind",0
"Hi this is yijue, can i meet u at 11 tmr?",0
"Haha awesome, omw back now then",0
"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",0
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",0
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,0
THANX 4 PUTTIN DA FONE DOWN ON ME!!,0
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,1
FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,1
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",0
I'm hungry buy smth home...,0
Y lei?,0
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,0
"Yeah, we can probably swing by once my roommate finishes up with his girl",0
Oh ya ya. I remember da. .,0
Thats cool. i liked your photos. You are very sexy!,0
Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,0
Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,0
"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",0
Hi happy birthday. Hi hi hi hi hi hi hi,0
O i played smash bros  &lt;#&gt;  religiously.,0
Didn't you get hep b immunisation in nigeria.,0
Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,0
Ultimately tor motive tui achieve korli.,0
Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,0
I dont know ask to my brother. Nothing problem some thing that. Just i told .,0
FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,1
"Alright omw, gotta change my order to a half8th",0
PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),0
Wot is u up 2 then bitch?,0
JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,0
That's one of the issues but california is okay. No snow so its manageable,0
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0
"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?",0
Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,1
Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,0
It is only yesterday true true.,0
"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?",0
My sister cleared two round in birla soft yesterday.,0
