v1,v2
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,0
Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,0
R Ì_ comin back for dinner?,0
So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck,0
No screaming means shouting..,0
"Well, I meant as opposed to my drunken night of before",0
Am okay. Will soon be over. All the best,0
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1
K..give back my thanks.,0
Dont gimme that lip caveboy,0
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,0
When did i use soc... I use it only at home... ÌÏ dunno how 2 type it in word ar...,0
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da",0
You tell what happen dont behave like this to me. Ok no need to say,0
Are you in castor? You need to see something,0
Surely result will offer:),0
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,1
K.then any other special?,0
"I can't right this second, gotta hit people up first",0
Sorry i'm not free...,0
Audrie lousy autocorrect,0
Is ur paper in e morn or aft tmr?,0
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,1
"The table's occupied, I'm waiting by the tree",0
Then why you came to hostel.,0
meet you in corporation st outside gap Û_ you can see how my mind is working!,0
I am in office:)whats the matter..msg me now.i will call you at break:).,0
"Trust me. Even if isn't there, its there.",0
The hair cream has not been shipped.,0
"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",0
Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,0
Did u got that persons story,0
"Didn't try, g and I decided not to head out",0
"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\""""",0
Jos ask if u wana meet up?,0
Anytime...,0
"Like  &lt;#&gt; , same question",0
Its a part of checking IQ,0
I guess it is useless calling u 4 something important.,0
"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",0
Noooooooo please. Last thing I need is stress. For once in your life be fair.,0
"K I'm leaving soon, be there a little after 9",0
Later i guess. I needa do mcat study too.,0
Don't necessarily expect it to be done before you get back though because I'm just now headin out,0
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0
"Hi Chikku, send some nice msgs",0
K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,0
If You mean the website. Yes.,0
"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much",0
Ok that's great thanx a lot.,0
Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,0
U still painting ur wall?,0
S..antha num corrct dane,0
Enjoy ur life. . Good night,0
Goodmorning today i am late for  &lt;DECIMAL&gt; min.,0
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",1
Waiting in e car 4 my mum lor. U leh? Reach home already?,0
Lol great now im getting hungry.,0
" says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",0
Went to ganesh dress shop,0
This pay is  &lt;DECIMAL&gt;  lakhs:),0
Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... ,0
Happy birthday... May u find ur prince charming soon n dun work too hard...,0
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,0
"Er, hello, things didnÛ÷t quite go to plan ÛÒ is limping slowly home followed by aa and with exhaust hanging off",0
This is all just creepy and crazy to me.,0
K:)k.are you in college?,0
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1
Okie...,0
Erm. I thought the contract ran out the4th of october.,0
I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.,0
Oh sorry please its over,0
I'm thinking that chennai forgot to come for auction..,0
Your dad is back in ph?,0
As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,1
Sat right? Okay thanks... ,0
Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,0
Should i send you naughty pix? :),0
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1
Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,0
I'll let you know when it kicks in,0
Oh ho. Is this the first time u use these type of words,0
But am going to college pa. What to do. are else ill come there it self. Pa.,0
Ok. C u then.,0
