v1,v2
Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,0
"This is one of the days you have a billion classes, right?",0
The wine is flowing and i'm i have nevering..,0
"Tonight? Yeah, I'd be down for that",0
Would me smoking you out help us work through this difficult time,0
"As usual..iam fine, happy &amp; doing well..:)",0
"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",1
"sure, but make sure he knows we ain't smokin yet",0
Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,0
I will reach before ten morning,0
"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",0
I'm on the bus. Love you,0
Will Ì_ b going to esplanade fr home?,0
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0
Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,0
important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,1
Aight what time you want me to come up?,0
Wat time do u wan 2 meet me later?,0
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,1
And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,0
&lt;#&gt;  am I think? Should say on syllabus,0
Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,1
"Nothing really, just making sure everybody's up to speed",0
"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",1
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0
Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,1
Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...,0
Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...,0
You getting back any time soon?,0
Alright. I'm out--have a good night!,0
"Good! No, donÛ÷t need any receiptsÛÓwell done! (Û_) Yes, please tell . WhatÛ÷s her number, i could ring her",0
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",1
Let me know if you need anything else. Salad or desert or something... How many beers shall i get?,0
"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. \paths are made by walking.. not by waiting..\"" Goodnight!""",0
Mmmm.... I cant wait to lick it!,0
"Sir Goodmorning, Once free call me.",0
There is no sense in my foot and penis.,0
WOT U WANNA DO THEN MISSY?,0
"Yo, you around? Just got my car back",0
Just buy a pizza. Meat lovers or supreme. U get to pick.,0
Anything lor if they all go then i go lor...,0
