v1,v2
Sorry about that this is my mates phone and i didnt write it love Kate,0
I'm very happy for you babe ! Woo hoo party on dude!,0
I asked sen to come chennai and search for job.,0
Welp apparently he retired,0
To day class is there are no class.,0
You have 1 new message. Please call 08712400200.,1
Check with nuerologist.,0
Yeah I don't see why not,0
SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,1
hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,0
I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,0
Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,0
"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",0
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",0
Ok i am on the way to railway,0
U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,0
I am joining today formally.Pls keep praying.will talk later.,0
This pain couldn't have come at a worse time.,0
Match started.india  &lt;#&gt;  for 2,0
Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,0
Hey i will be late... i'm at amk. Need to drink tea or coffee,0
You call him and tell now infront of them. Call him now.,0
Do u knw dis no. &lt;#&gt; ?,0
"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",1
No. Thank you. You've been wonderful,0
Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired,0
my ex-wife was not able to have kids. Do you want kids one day?,0
\Keep ur problems in ur heart,0
"\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT\""""",0
Love you aathi..love u lot..,0
Super da:)good replacement for murali,0
Ya very nice. . .be ready on thursday,0
Me fine..absolutly fine,0
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",0
I dont thnk its a wrong calling between us,0
Hey i'm bored... So i'm thinking of u... So wat r u doing?,0
Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,1
He telling not to tell any one. If so treat for me hi hi hi,0
Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,0
U wan 2 haf lunch i'm in da canteen now.,0
SMS. ac sun0819 posts HELLO:\You seem cool,1
Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,1
Annoying isn't it.,0
"G says you never answer your texts, confirm/deny",0
Have you been practising your curtsey?,0
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ ,1
"That's cool he'll be here all night, lemme know when you're around",0
Were trying to find a Chinese food place around here,0
These won't do. Have to move on to morphine,0
hanks lotsly!,0
ÌÏ v ma fan...,0
"Aight, we'll head out in a few",0
Ok. So april. Cant wait,0
The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,0
"That means you got an A in epi, she.s fine. She.s here now.",0
Oh ok no prob..,0
Maybe you should find something else to do instead???,0
Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,0
Ok lor. Msg me b4 u call.,0
Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,0
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",1
Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,0
Okay. I've seen it. So i should pick it on friday?,0
"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",0
We're on the opposite side from where we dropped you off,0
Oooh bed ridden ey? What are YOU thinking of?,0
We don call like  &lt;#&gt;  times oh. No give us hypertension oh.,0
"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",1
Good evening! How are you?,0
Well. Im computerless. Time to make some oreo truffles,0
If I was I wasn't paying attention,0
SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,0
It only does simple arithmetic not percentages.,0
"Aight I'll grab something to eat too, text me when you're back at mu",0
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",1
Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.,0
Howz pain.it will come down today.do as i said ystrday.ice and medicine.,0
I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.,0
K..k..i'm also fine:)when will you complete the course?,0
"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",0
Hi my email address has changed now it is ,0
I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,0
"Yup. Anything lor, if u dun wan it's ok...",0
Adult 18 Content Your video will be with you shortly,1
i see. When we finish we have loads of loans to pay,0
"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",0
