v1,v2
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0
I accidentally deleted the message. Resend please.,0
Are you still getting the goods.,0
Ok lar... Joking wif u oni...,0
Ok...,0
No da if you run that it activate the full version da.,0
"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",0
I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,0
This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,0
IM LATE TELLMISS IM ON MY WAY,0
Update your face book status frequently :),0
Are you wet right now?,0
Try to do something dear. You read something for exams,0
"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",0
I did. One slice and one breadstick. Lol,0
Is xy going 4 e lunch?,0
Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,1
"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",0
What???? Hello wats talks email address?,0
That seems unnecessarily hostile,0
"Yeah, give me a call if you've got a minute",0
Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,0
I like you peoples very much:) but am very shy pa.,0
Dear how you. Are you ok?,0
Ok,0
"Sir, I am waiting for your mail.",0
"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",1
Ugh hopefully the asus ppl dont randomly do a reformat.,0
Do you know where my lab goggles went,0
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,1
Id onluy matters when getting on from offcampus,0
A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611 ,1
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0
"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!",0
Reason is if the team budget is available at last they buy the unsold players for at base rate..,0
Esplanade lor. Where else...,0
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,0
"I can. But it will tell quite long, cos i haven't finish my film yet...",0
Hi.:)technical support.providing assistance to us customer through call and email:),0
"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?",0
I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? ,0
at bruce b downs &amp; fletcher now,0
Wat uniform? In where get?,0
Howz that persons story,0
Morning only i can ok.,0
Yes :)it completely in out of form:)clark also utter waste.,0
I am not having her number sir,0
"Babe, I'm back ... Come back to me ...",0
Hello! Good week? Fancy a drink or something later?,0
Just sleeping..and surfing,0
Also are you bringing galileo or dobby,0
"Aight, call me once you're close",0
Any pain on urination any thing else?,0
Then u drive lor.,0
No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,0
I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,0
Yup no more already... Thanx 4 printing n handing it up.,0
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,0
No. But we'll do medical missions to nigeria,0
My planning usually stops at \find hella weed,0
Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,1
I'll text now! All creepy like so he won't think that we forgot,0
From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost å£1.50 min MobcudB more,1
FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,1
I cant pick the phone right now. Pls send a message,0
Just sleeping..and surfing,0
Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,0
cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,0
"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",0
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0
Lol wtf random. Btw is that your lunch break,0
"Tee hee. Off to lecture, cheery bye bye.",0
Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,0
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",1
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",0
Is that what time you want me to come?,0
"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",0
Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,0
Lol I would but despite these cramps I like being a girl.,0
I am waiting machan. Call me once you free.,0
"Yep, at derek's house now, see you Sunday &lt;3",0
"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard",0
You could have seen me..i did't recognise you Face.:),0
Ok no prob. Take ur time.,0
Easy ah?sen got selected means its good..,0
Moji just informed me that you saved our lives. Thanks.,0
